What	WP	What
Spectre	NP	<unknown>
lacks	VBZ	lack
is	VBZ	be
the	DT	the
sinister	JJ	sinister
magnetic	JJ	magnetic
pull	NN	pull
of	IN	of
Skyfall	NP	<unknown>
,	,	,
a	DT	a
Bond	NP	Bond
movie	NN	movie
with	IN	with
real	JJ	real
stakes	NNS	stake
and	CC	and
attitude	NN	attitude
and	CC	and
distinctive	JJ	distinctive
flavor	NN	flavor
,	,	,
not	RB	not
to	TO	to
mention	VB	mention
more	JJR	more
mesmeric	JJ	mesmeric
images	NNS	image
than	IN	than
one	CD	one
can	MD	can
usually	RB	usually
expect	VB	expect
from	IN	from
this	DT	this
workmanlike	JJ	workmanlike
blockbuster	NN	blockbuster
franchise	NN	franchise
.	SENT	.
