More	RBR	more
interesting	JJ	interesting
than	IN	than
the	DT	the
hows	NNS	<unknown>
and	CC	and
whys	NNS	why
of	IN	of
N.W.A.	NP	<unknown>
's	POS	's
controversial	JJ	controversial
rise	NN	rise
and	CC	and
fall	NN	fall
in	IN	in
the	DT	the
industry	NN	industry
are	VBP	be
the	DT	the
inside	JJ	inside
snapshots	NNS	snapshot
of	IN	of
the	DT	the
industry	NN	industry
itself	PP	itself
,	,	,
from	IN	from
grimy	JJ	grimy
Compton	NP	Compton
clubs	NNS	club
to	TO	to
electrifying	VBG	electrify
arena	NN	arena
concerts	NNS	concert
to	TO	to
hotel	NN	hotel
orgies	NNS	orgy
to	TO	to
studio	NN	studio
sessions	NNS	session
that	WDT	that
illuminate	VBP	illuminate
Dr.	NP	Dr.
Dre	NP	Dre
's	POS	's
creative	JJ	creative
process	NN	process
.	SENT	.
