Cooper	NP	Cooper
can	MD	can
do	VB	do
this	DT	this
kind	NN	kind
of	IN	of
arrogant-but-irresistible	JJ	<unknown>
golden	JJ	golden
boy	NN	boy
shtick	NN	shtick
in	IN	in
his	PP$	his
sleep	NN	sleep
,	,	,
but	CC	but
that	WDT	that
does	VBZ	do
n't	RB	n't
make	VB	make
it	PP	it
any	DT	any
less	RBR	less
pleasurable	JJ	pleasurable
to	TO	to
watch	VB	watch
.	SENT	.
Flashing	VBG	flash
his	PP$	his
baby	NN	baby
blues	NNS	blue
and	CC	and
a	DT	a
fiery	JJ	fiery
temper	NN	temper
,	,	,
the	DT	the
actor	NN	actor
gives	VBZ	give
a	DT	a
fully	RB	fully
engaged	VBN	engage
performance	NN	performance
that	WDT	that
almost	RB	almost
makes	VBZ	make
us	PP	us
want	VBP	want
to	TO	to
forgive	VB	forgive
the	DT	the
movie’s	NN	<unknown>
laziness	NN	laziness
.	SENT	.
Almost	RB	almost
.	SENT	.
