Soderbergh	NP	Soderbergh
does	VBZ	do
n't	RB	n't
miss	VB	miss
a	DT	a
trick	NN	trick
,	,	,
and	CC	and
for	IN	for
a	DT	a
while	IN	while
it	PP	it
's	VBZ	be
fun	NN	fun
for	IN	for
us	PP	us
to	TO	to
share	NN	share
in	IN	in
his	PP$	his
fun	NN	fun
.	SENT	.
But	CC	but
there	EX	there
comes	VBZ	come
a	DT	a
moment	NN	moment
when	WRB	when
his	PP$	his
Euro-noir	NN	<unknown>
film	NN	film
turns	VBZ	turn
into	IN	into
another	DT	another
sort	NN	sort
of	IN	of
exercise	NN	exercise
for	IN	for
the	DT	the
audience	NN	audience
:	:	:
an	DT	an
exercise	NN	exercise
in	IN	in
boredom	NN	boredom
.	SENT	.
