It	PP	it
merely	RB	merely
exudes	VBZ	exude
an	DT	an
aura	NN	aura
of	IN	of
cheap	JJ	cheap
manipulation	NN	manipulation
by	IN	by
which	WDT	which
the	DT	the
audience	NN	audience
is	VBZ	be
simply	RB	simply
asked	VBN	ask
to	TO	to
rank	VB	rank
the	DT	the
film	NN	film
's	POS	's
characters	NNS	character
on	IN	on
a	DT	a
d-bag	NN	<unknown>
scale	NN	scale
and	CC	and
root	NN	root
for	IN	for
their	PP$	their
survival	NN	survival
,	,	,
or	CC	or
destruction	NN	destruction
,	,	,
accordingly	RB	accordingly
.	SENT	.
