% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'grim unforgive remain ',positive
'base true fill stunning feature more good deliver solid be high-altitude leave drain ',positive
'name be solid big beautiful terrifying merciless ',positive
'be damn good ',positive
'classily classically craft good superbly act romantic be set early provide be lift different altogether so transport be social ',positive
'essentially make big good ',positive
'anchor great mix weird huge be most purely enjoyable ',positive
'singular stunning ',positive
'be here maybe cynical maybe true bleak sometimes powerful deliver blunt ',positive
'few self-conscious make earnest return American filmmak pay fascinating ',positive
'capture alarming make complete stress most righteous downplay youthful as well flagrant ',positive
'be great American perhaps serve ultimate outspoken ',positive
'also ignore famous work lower-profile trust good touch ',positive
'play have be run ',positive
'even glossy new remain ',positive
'wisely keep often let feel first maybe second overlap familiar new different ',positive
'tightly pack ',positive
'give real human allow propulsive breathe stellar good ',positive
'make Martian be ',positive
'down dirty base be thrill ',positive
'breathtakingly gorgeous well act walk be have choose solid fictionalize say go ',positive
'be only n\'t shoot high around sicken travel get much climb be shoot watch believe ',positive
'deliver exactly promise cut most innocuous ',positive
'be sophisticated yet innocent always accessible young never suffer straightforward breezy easy follow fun enjoy ',positive
'be unapologetically stirring solve even most daunting rational basically ',positive
'more subtle damn implicate as much legal other systematic wide cultural describe ',positive
'enormously entertaining ',positive
'be other new n\'t get already early more ambitious deliver effective do enough avant show temper good ',positive
'brilliantly act most carefully assemble be good show just hard be uncover painful ',positive
'be have play many have limit professional nail sound just expect sound ',positive
'walk be broadly write first be save arguably supersede entirely nerve-wracking majestic spectacular ',positive
'have be plenty mountaineer last few suffer simply be as realistic be occasionally tell be be still aware gut be not actually film ',positive
'keenly focus demonstrate be impressive ',positive
'then now make romantic cut deep be very good ',positive
'nuanced mutual reflect cast operate render complex strikingly personal ',positive
'narrative do documentary re-create full glorious rather edit together surreptitiously snap dizzying truly be magic ',positive
'balance melodramatic several light ',positive
'fellow strike right here deftly mix spiritual painful biting ',positive
'walk be visionary ',positive
'succeed wonderfully offer rare rarify compel make see large oversized actual ',positive
'be potent largely successful make be tell ',positive
'go include be prepare intense moral do n\'t conform ',positive
'basically uphold not condone see mostly consume ',positive
'walk feel as walk be agitate exhaust be squirm wince few even have close just find ',positive
'come want feel watch want understand just watch want be entertain also want icy whipping sting ',positive
'do not collapse own be keep steady next ',positive
'also confront modern frighten surprise familiar same ',positive
'be tightly wind out keep many small move be skillful merge telling minute big loop ',positive
'most other sprint expository bluster last be measure enough make want suspend ',positive
'debut write have great forward wring ',positive
'be enjoyable head oddly sinister secret uncertain be Mexican be Colombian be be approximately scary ever ',positive
'manage sustain outrageous do n\'t take underlie grant instead build crass constant inspired ',positive
'cerebral push forward have make genuine ',positive
'have pull remarkable here wink be long have see pure burn slowly steadily lead unexpectedly move ',positive
'be undeniably also timeless transform angry profane vibrant singular personal ',positive
'crackle fizz fresh be thrilling reinvigorate well-worn ',positive
'be good be fluid indistinct ',positive
