There	EX	there
's	VBZ	be
no	DT	no
humanity	NN	humanity
in	IN	in
this	DT	this
grave	JJ	grave
disappointment	NN	disappointment
that	WDT	that
justifies	VBZ	justify
the	DT	the
passion	NN	passion
his	PP$	his
fans	NNS	fan
feel	VBP	feel
for	IN	for
the	DT	the
father	NN	father
of	IN	of
the	DT	the
iMac	NN	<unknown>
.	SENT	.
Steve	NP	Steve
Jobs	NP	Jobs
and	CC	and
all	DT	all
of	IN	of
the	DT	the
characters	NNS	character
around	IN	around
him	PP	him
fail	VBP	fail
to	TO	to
come	VB	come
to	TO	to
life	NN	life
in	IN	in
any	DT	any
absorbing	JJ	absorbing
fashion	NN	fashion
.	SENT	.
They	PP	they
're	VBP	be
not	RB	not
real	JJ	real
people	NNS	people
;	:	;
they	PP	they
're	VBP	be
all	DT	all
hashtags	NNS	<unknown>
.	SENT	.
