Most	JJS	most
bewildering	VBG	bewilder
of	IN	of
all	DT	all
,	,	,
Bridge	NP	Bridge
of	IN	of
Spies	NP	Spies
is	VBZ	be
a	DT	a
moral	JJ	moral
drama	NN	drama
driven	VBN	drive
by	IN	by
an	DT	an
insurance	NN	insurance
lawyer	NN	lawyer
.	SENT	.
That	IN	that
it	PP	it
works	VBZ	work
at	IN	at
all	DT	all
is	VBZ	be
a	DT	a
miracle	NN	miracle
—	NN	<unknown>
or	CC	or
would	MD	would
be	VB	be
,	,	,
if	IN	if
anyone	NN	anyone
other	JJ	other
than	IN	than
St.	NP	St.
Steven	NP	Steven
were	VBD	be
involved	VBN	involve
.	SENT	.
