One	CD	One
wouldn’t	NN	<unknown>
expect	VBP	expect
A	DT	a
Walk	VBP	walk
In	IN	in
The	DT	the
Woods	NP	Woods
to	TO	to
be	VB	be
a	DT	a
rat-a-tat-tat	NN	rat-a-tat-tat
1930s	NNS	1930s
comedy	NN	comedy
,	,	,
but	CC	but
between	IN	between
the	DT	the
stars	NNS	star
’	NN	<unknown>
rusty	JJ	rusty
comic	JJ	comic
timing	NN	timing
and	CC	and
the	DT	the
script’s	JJ	<unknown>
stale	JJ	stale
setups	NNS	setup
,	,	,
the	DT	the
movie	NN	movie
simply	RB	simply
isn’t	VBD	<unknown>
that	IN	that
funny	JJ	funny
,	,	,
more	RBR	more
likely	JJ	likely
to	TO	to
produce	VB	produce
a	DT	a
smile	NN	smile
than	IN	than
even	RB	even
a	DT	a
chuckle	NN	chuckle
.	SENT	.
