Alas	UH	alas
,	,	,
Slackers	NP	<unknown>
sucks	VBZ	suck
.	SENT	.
It	PP	it
's	VBZ	be
so	RB	so
bad	JJ	bad
Schwartzman	NP	Schwartzman
ca	MD	ca
n't	RB	n't
save	VB	save
it	PP	it
,	,	,
though	IN	though
he	PP	he
tries	VBZ	try
mightily	RB	mightily
;	:	;
a	DT	a
flash	NN	flash
of	IN	of
nudity	NN	nudity
from	IN	from
Pearl	NP	Pearl
Harbor	NP	Harbor
babe	NN	babe
and	CC	and
male-named	JJ	<unknown>
model-turned-actress	NN	<unknown>
James	NP	James
King	NP	King
is	VBZ	be
n't	RB	n't
even	RB	even
worth	JJ	worth
the	DT	the
price	NN	price
of	IN	of
a	DT	a
video	JJ	video
rental	NN	rental
down	IN	down
the	DT	the
line	NN	line
.	SENT	.
