Sorkin	NP	Sorkin
's	POS	's
voice	NN	voice
dominates	VBZ	dominate
the	DT	the
discourse	NN	discourse
and	CC	and
the	DT	the
film	NN	film
rarely	RB	rarely
has	VBZ	have
a	DT	a
chance	NN	chance
to	TO	to
catch	VB	catch
its	PP$	its
collective	JJ	collective
breath	NN	breath
.	SENT	.
While	IN	while
you	PP	you
have	VBP	have
to	TO	to
give	VB	give
the	DT	the
duo	NN	duo
credit	NN	credit
for	IN	for
attempting	VBG	attempt
an	DT	an
unconventional	JJ	unconventional
structure	NN	structure
,	,	,
it	PP	it
's	VBZ	be
a	DT	a
choice	NN	choice
that	IN	that
arguably	RB	arguably
only	RB	only
works	VBZ	work
thanks	NNS	thank
to	TO	to
the	DT	the
contributions	NNS	contribution
of	IN	of
a	DT	a
stellar	JJ	stellar
ensemble	NN	ensemble
.	SENT	.
