What	WP	What
begins	VBZ	begin
as	IN	as
a	DT	a
clever	JJ	clever
action-comedy	NN	<unknown>
a	DT	a
la	NP	la
“	NN	<unknown>
Pineapple	NP	<unknown>
Express	NP	Express
”	NP	<unknown>
or	CC	or
Eisenberg’s	NP	<unknown>
earlier	RBR	earlier
“	JJ	<unknown>
Zombieland	NP	<unknown>
”	NN	<unknown>
devolves	VBZ	devolve
into	IN	into
a	DT	a
standard	JJ	standard
shoot-’em-up	NN	<unknown>
,	,	,
with	IN	with
gore	NN	gore
splashed	VBD	splash
around	RP	around
to	TO	to
distract	VB	distract
us	PP	us
from	IN	from
the	DT	the
dearth	NN	dearth
of	IN	of
wit	NN	wit
.	SENT	.
