Shyamalan	NP	<unknown>
has	VBZ	have
had	VBN	have
some	DT	some
difficulties	NNS	difficulty
as	IN	as
a	DT	a
director	NN	director
of	IN	of
late	JJ	late
,	,	,
and	CC	and
it	PP	it
's	VBZ	be
understandable	JJ	understandable
to	TO	to
hope	VB	hope
that	IN	that
by	IN	by
placing	VBG	place
him	PP	him
back	RB	back
in	IN	in
the	DT	the
realm	NN	realm
of	IN	of
lower	JJR	low
budgets	NNS	budget
and	CC	and
more	JJR	more
manageable	JJ	manageable
expectations	NNS	expectation
he	PP	he
could	MD	could
impress	VB	impress
us	PP	us
yet	RB	yet
again	RB	again
;	:	;
that	WDT	that
turns	VBZ	turn
out	RP	out
not	RB	not
to	TO	to
be	VB	be
the	DT	the
case	NN	case
this	DT	this
time	NN	time
.	SENT	.
