One	CD	One
of	IN	of
its	PP$	its
major	JJ	major
virtues	NNS	virtue
is	VBZ	be
what�s	JJ	<unknown>
not	RB	not
there	RB	there
:	:	:
no	DT	no
creepy	JJ	creepy
flashbacks	NNS	flashback
of	IN	of
prowling	VBG	prowl
priests	NNS	priest
,	,	,
or	CC	or
�	NN	<unknown>
as	IN	as
in	IN	in
the	DT	the
prelude	NN	prelude
to	TO	to
Clint	NP	Clint
Eastwood�s	NP	<unknown>
�Mystic	JJ	<unknown>
River�	NP	<unknown>
�	NN	<unknown>
of	IN	of
children	NNS	child
in	IN	in
the	DT	the
vortex	NN	vortex
of	IN	of
peril	NN	peril
.	SENT	.
Everything	NN	Everything
happens	VBZ	happen
in	IN	in
the	DT	the
here	RB	here
and	CC	and
now	RB	now
,	,	,
not	RB	not
least	RBS	least
the	DT	the
recitation	NN	recitation
of	IN	of
the	DT	the
there	RB	there
and	CC	and
then	RB	then
.	SENT	.
