Joseph	NP	Joseph
's	POS	's
direction	NN	direction
offers	VBZ	offer
up	RP	up
an	DT	an
energetic	JJ	energetic
take	NN	take
on	IN	on
the	DT	the
material	NN	material
,	,	,
incorporating	VBG	incorporate
text	NN	text
visualization	NN	visualization
,	,	,
quick-cutting	VBG	<unknown>
montages	NNS	montage
,	,	,
and	CC	and
creative	JJ	creative
uses	NNS	use
of	IN	of
animation	NN	animation
to	TO	to
bring	VB	bring
the	DT	the
thumping	JJ	thumping
electronic	JJ	electronic
music	NN	music
to	TO	to
cinematic	JJ	cinematic
life	NN	life
.	SENT	.
