It’s	NNS	<unknown>
morally	RB	morally
complex	JJ	complex
and	CC	and
sometimes	RB	sometimes
uncomfortably	RB	uncomfortably
close	VB	close
to	TO	to
the	DT	the
bone	NN	bone
,	,	,
but	CC	but
also	RB	also
lushly	RB	lushly
bawdy	JJ	bawdy
and	CC	and
funny	JJ	funny
,	,	,
and	CC	and
packaged	VBN	package
together	RB	together
with	IN	with
an	DT	an
astonishing	JJ	astonishing
degree	NN	degree
of	IN	of
cinematic	JJ	cinematic
brio	NN	brio
by	IN	by
first-time	JJ	first-time
writer-director	NP	writer-director
Marielle	NP	Marielle
Heller	NP	Heller
.	SENT	.
