Whatever	WDT	whatever
drugs	NNS	drug
director	NN	director
Joe	NP	Joe
Wright	NP	Wright
may	MD	may
or	CC	or
may	MD	may
not	RB	not
have	VB	have
been	VBN	be
on	IN	on
when	WRB	when
he	PP	he
wrestled	VBD	wrestle
Pan	NP	Pan
to	TO	to
the	DT	the
ground	NN	ground
,	,	,
pulverizing	VBG	pulverize
the	DT	the
material	NN	material
into	IN	into
a	DT	a
quivering	VBG	quiver
mound	NN	mound
of	IN	of
monkey-bread	NN	<unknown>
dough	NN	dough
,	,	,
you	PP	you
can	MD	can
trust	VB	trust
that	IN	that
they	PP	they
were	VBD	be
synthetic	JJ	synthetic
.	SENT	.
Not	RB	not
a	DT	a
single	JJ	single
emotional	JJ	emotional
moment	NN	moment
in	IN	in
this	DT	this
entire	JJ	entire
origin	NN	origin
story	NN	story
for	IN	for
J.M.	NP	J.M.
Barrie	NP	Barrie
's	POS	's
Peter	NP	Peter
Pan	NP	Pan
,	,	,
Captain	NP	Captain
Hook	NP	Hook
,	,	,
and	CC	and
Neverland	NP	<unknown>
feels	VBZ	feel
organic	JJ	organic
.	SENT	.
