Lost	VBN	lose
in	IN	in
the	DT	the
Sun	NP	Sun
gets	VBZ	get
most	JJS	most
elements	NNS	element
right	RB	right
in	IN	in
order	NN	order
to	TO	to
put	VB	put
together	RB	together
one	CD	one
of	IN	of
those	DT	those
gritty	JJ	gritty
and	CC	and
melancholic	JJ	melancholic
southern	JJ	southern
crime	NN	crime
dramas	NN	dramas
,	,	,
except	IN	except
for	IN	for
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
producing	VBG	produce
a	DT	a
unique	JJ	unique
screenplay	NN	screenplay
and	CC	and
direction	NN	direction
that	WDT	that
rises	VBZ	rise
above	IN	above
mediocrity	NN	mediocrity
.	SENT	.
