It	PP	it
may	MD	may
not	RB	not
be	VB	be
as	RB	as
brazenly	RB	brazenly
offensive	JJ	offensive
as	IN	as
“	NP	<unknown>
God’s	NP	<unknown>
Not	RB	not
Dead	NP	Dead
”	NN	<unknown>
or	CC	or
as	RB	as
spectacularly	RB	spectacularly
inept	JJ	inept
as	IN	as
“	JJ	<unknown>
Kirk	NP	Kirk
Cameron’s	NP	<unknown>
Saving	NP	<unknown>
Christmas	NP	Christmas
,	,	,
”	NN	<unknown>
but	CC	but
it’s	NNS	<unknown>
still	RB	still
awful	JJ	awful
,	,	,
offering	VBG	offer
all	PDT	all
the	DT	the
forced	VBN	force
humor	NN	humor
and	CC	and
superficial	JJ	superficial
substance	NN	substance
of	IN	of
a	DT	a
half-baked	JJ	half-baked
homily	NN	homily
.	SENT	.
