Movies	NNS	movie
concerned	VBN	concern
with	IN	with
the	DT	the
life	NN	life
,	,	,
the	DT	the
mind	NN	mind
,	,	,
the	DT	the
body	NN	body
and	CC	and
the	DT	the
dawning	VBG	dawn
self-respect	NN	self-respect
of	IN	of
a	DT	a
15-year-old	JJ	<unknown>
girl	NN	girl
running	VBG	run
every	DT	every
sort	NN	sort
of	IN	of
risk	NN	risk
—	NN	<unknown>
these	DT	these
are	VBP	be
rare	JJ	rare
.	SENT	.
The	DT	the
Diary	NP	<unknown>
of	IN	of
a	DT	a
Teenage	NP	<unknown>
Girl	NP	<unknown>
is	VBZ	be
one	CD	one
of	IN	of
them	PP	them
,	,	,
and	CC	and
it	PP	it
's	VBZ	be
terrific	JJ	terrific
.	SENT	.
