Our	PP$	our
Brand	NN	brand
is	VBZ	be
Crisis	NP	<unknown>
hits	VBZ	hit
a	DT	a
lot	NN	lot
of	IN	of
clunky	NN	clunky
notes	NNS	note
and	CC	and
the	DT	the
end	NN	end
is	VBZ	be
unforgivably	RB	<unknown>
cornball	NN	cornball
,	,	,
but	CC	but
it’s	NNS	<unknown>
still	RB	still
one	CD	one
of	IN	of
the	DT	the
liveliest	JJS	lively
political	JJ	political
black	JJ	black
comedies	NNS	comedy
I’ve	NN	<unknown>
seen	VBN	see
in	IN	in
a	DT	a
while	NN	while
.	SENT	.
The	DT	the
pacing	VBG	pace
is	VBZ	be
lickety-split	RB	lickety-split
,	,	,
the	DT	the
talk	NN	talk
is	VBZ	be
boisterous	JJ	boisterous
,	,	,
and	CC	and
the	DT	the
cast	NN	cast
is	VBZ	be
all	DT	all
aces	NNS	ace
.	SENT	.
