There	EX	there
's	VBZ	be
not	RB	not
an	DT	an
ounce	NN	ounce
of	IN	of
fat	NN	fat
on	IN	on
the	DT	the
film	NN	film
.	SENT	.
It	PP	it
feels	VBZ	feel
like	IN	like
it	PP	it
moves	VBZ	move
forward	RB	forward
in	IN	in
every	DT	every
single	JJ	single
scene	NN	scene
,	,	,
and	CC	and
while	IN	while
it	PP	it
's	VBZ	be
a	DT	a
little	RB	little
mechanical	JJ	mechanical
about	RB	about
how	WRB	how
it	PP	it
follows	VBZ	follow
three-act	NN	three-act
structure	NN	structure
,	,	,
it	PP	it
's	VBZ	be
almost	RB	almost
charmingly	RB	charmingly
old-fashioned	JJ	old-fashioned
about	IN	about
it	PP	it
.	SENT	.
