% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'grim ',positive
'true stunning more good solid high-altitude ',positive
'solid big beautiful terrifying merciless ',positive
'damn good ',positive
'classily classically good superbly romantic early different altogether so social ',positive
'essentially big good ',positive
'great weird huge most purely enjoyable ',positive
'singular stunning ',positive
'here maybe cynical maybe true bleak sometimes powerful blunt ',positive
'few self-conscious earnest American fascinating ',positive
'alarming complete most righteous youthful as well flagrant ',positive
'great American perhaps ultimate outspoken ',positive
'also famous lower-profile good ',positive
'',positive
'even glossy new ',positive
'wisely often first maybe second familiar new different ',positive
'tightly ',positive
'real human propulsive stellar good ',positive
'Martian ',positive
'down dirty ',positive
'breathtakingly gorgeous well solid ',positive
'only n\'t high around much ',positive
'exactly cut most innocuous ',positive
'sophisticated yet innocent always accessible young never straightforward breezy easy ',positive
'unapologetically stirring even most daunting rational basically ',positive
'more subtle as much legal other systematic wide cultural ',positive
'enormously entertaining ',positive
'other new n\'t already early more ambitious effective enough avant good ',positive
'brilliantly most carefully good just hard painful ',positive
'many professional just ',positive
'broadly first arguably entirely nerve-wracking majestic spectacular ',positive
'plenty last few simply as realistic occasionally still aware gut not actually ',positive
'keenly impressive ',positive
'then now romantic deep very good ',positive
'nuanced mutual complex strikingly personal ',positive
'narrative documentary full glorious rather together surreptitiously dizzying truly magic ',positive
'melodramatic several light ',positive
'fellow right here deftly spiritual painful biting ',positive
'visionary ',positive
'wonderfully rare large oversized actual ',positive
'potent largely successful ',positive
'intense moral n\'t ',positive
'basically not mostly ',positive
'as few even just ',positive
'just also icy whipping ',positive
'not own next ',positive
'also modern familiar same ',positive
'tightly out many small skillful telling minute big ',positive
'most other expository last enough ',positive
'great forward ',positive
'enjoyable oddly sinister secret uncertain Mexican Colombian approximately scary ever ',positive
'outrageous n\'t instead crass constant inspired ',positive
'cerebral forward genuine ',positive
'remarkable here long pure slowly steadily unexpectedly ',positive
'undeniably also timeless angry profane vibrant singular personal ',positive
'fresh thrilling well-worn ',positive
'good fluid indistinct ',positive
'fairly good extremely as far true-life battered high yet somehow n\'t far enough ',positive
'heartbreaking poignant superb luminous bittersweet ',positive
'creative costume cinematic beautiful ',positive
'more modest other still absolute sophisticated crude visual ',positive
'charming clever ',positive
'not sure right enigmatic world-weary least very dark ',positive
'most satisfying ',positive
'tautly tense procedural heartbreaking personal respectfully big more ',positive
'never immediate straight ',positive
'too good true not ',positive
'great other good ',positive
'successful old new no emotional ultimately never fretful ',positive
'sensational most gripping covert ago ',positive
'essential all about great already ',positive
'straight hugely entertaining good too closely just ',positive
'clear-eyed digital constant alive relevant ',positive
'minor multiple low-key dark warm human surprisingly ',positive
'commanding staunch much well straightforward ',positive
'robust romantic rich full once well-read respected tenderly observed ',positive
'wonderfully odd human all emotional subtle subcutaneous long ',positive
'rare just enough simply right ',positive
'even high quite startling exquisitely deeply inner supreme breathtaking most sophisticated accessible ',positive
'incomprehensible lay not exactly original entertaining ',positive
'impossible alone somehow just that ',positive
'here entirely different recent true so incredible literally as imaginary full impossible ',positive
'least there global good permanent cinematic fine ',positive
'impatient n\'t creepily erotic perfect ',positive
'up good stirring spectacular devastating subtle final ',positive
'occasionally little particularly sticky final certain timeless back ',positive
'self-centered still honest occasionally even funny cripplingly immature young ',positive
'great not only obvious similar sometimes crushingly boring also adjacent ',positive
'not ',positive
'blockbuster almost avant-garde exhilaratingly same subtle meticulous 3D ',positive
'impressively also ',positive
'Martian many innumerable delightful small even more infectious ',positive
'once ardent analytical cerebral human sparse restrained ',positive
'great silent concrete elaborate everyday sometimes properly ',positive
'dramatic somewhere ',positive
'smart uniformly packed not overly long social timeless ',positive
'sprawling formulaic highly entertaining pop ',positive
'as strong as ',positive
'most never ',positive
'own emotionally ',positive
'fine adept first-rate doltish even memorable apart ',positive
'actually ',positive
'terrific great n\'t enough long ',positive
'raw intimate human instead rare more valuable urgently personal stunning ',positive
'perfect cerebral visceral all ',positive
'old-fashioned silly gentle ',positive
'so fascinating truly chief so funny interesting infallibly likable ',positive
'final n\'t emotionally gold not unyieldingly oppressive ',positive
'grand fractured funny reset ',positive
'unforgettable beautiful ',positive
'more technically ever also gentle more other also neat no permanent more vividly ',positive
'visual present vibrant ',positive
'ultimately frustrating modern n\'t just ',positive
'smart moving hilarious single ',positive
'several right average ',positive
'first truly fresh old street-level ',positive
'open marginally simple still chaotic just ',positive
'professional however unfair polished apart ',positive
'so intent not little soft probably ',positive
'awe-inspiring unfortunately never more ',positive
'seemingly flawless more just bloodthirsty stellar ',positive
'postwar black visual pretty R-rated ',positive
'down personal aerial red intimate ',positive
'genuine open ',positive
'unashamedly romantic beautifully subtle old-fashioned graceful ripe ',positive
'as grim unyielding as yet cinematically subject masterful narrative sensory familiar daringly existential ',positive
'particular n\'t large all so special ',positive
'ultimately though chaotically charismatic hugely well worse thoroughly real ',positive
'good here grave ',positive
'few loose faithful necessarily less detailed ',positive
'particular out tight small complex Byzantine obscure ',positive
'really ',positive
'so excessive big usually ',positive
'',positive
'adorable big-city most pure visual ',positive
'tactile rich sensory almost ',positive
'vigorous crucial ',positive
'good late never ',positive
'perilous central not old n\'t good ',positive
'inspiring all back before scrappy ',positive
'soaringly romantic truly sad ',positive
'n\'t self-effacing accomplished intentionally low fistful top eloquent ',positive
'graceful not only so much ',positive
'convincing astonishing willing less delicate totally compelling like very next ',positive
'full non-stop intriguing new classic old-fashioned swashbuckling charming ',positive
'funny ',positive
'sheer more lumbering strained ',positive
'world-class ',positive
'maybe enough even slow ',positive
'passable occasional real ',positive
'sentimental perfect ',positive
'straight often entertaining dynamic ultimately as cinematic not only successful trailblazing hip ',positive
'loud colourful busy full not most bold winningly eccentric ',positive
'wholly maternal scattered mental really ',positive
'not exactly feel-good very particular ',positive
'ultimately rich almost tactile astonishing ',positive
'impassioned spectacular final real ',positive
'even small ',positive
'bold altogether whole goofy sound silly contagiously cute ',positive
'not quite certainly least tart mild less acidic mostly pleasurable ',positive
'entertaining just perfect first preschooler ',positive
'commercial smart even relatively simple feel-good more safe brainy familiar more ',positive
'just little more rich evocative even n\'t least transcendent pretty good not exactly heavenly ',positive
'lurid ghastly immensely enjoyable frequently spectacular also thin less substantial ',positive
'now middle no longer introspective great ',positive
'outstanding remarkable ',positive
'energetic never good ',positive
'marvelous technical finally ',positive
'same ',positive
'superior together tough not ',positive
'about old-fashioned pleasant innocuous not toothless romantic beautiful ',positive
'lovely grainy so elegantly practically methodical precise fussy oppressive ',positive
'beautiful flawless certainly justified ',positive
'ice-cold dead demonic n\'t up then riveting ',positive
'most multidimensional sometimes uncontrollable clear warm expressive ',positive
'irreducible wry first outsized ridiculous beautiful ',positive
'not necessarily important seamy sweaty subtly most satisfying ',positive
'sometimes different 3D particular so practically once free contagious ',positive
'more awe-inspiring big surreal many never again ',positive
'appealing ultimately adequate ',positive
'',positive
'only anywhere unattainable ',positive
'as much comic even most ebullient ',positive
'nearly perfect so single-mindedly ',positive
'well-paced procedural monotonous ',positive
'utterly uneasy strikingly confidently powerful aural visual quite remarkable remarkably intense nonetheless ',positive
'really truly not necessarily intelligent mainstream supposedly creative as well enough almost grateful ',positive
'swell together as beautifully also churlish not not definitely grateful ',positive
'playful absurd endearingly inventive unstoppably amusing current golden ',positive
'here heady high-end high-stakes ',positive
'',positive
'inter-American more few as powerful superbly ',positive
'critical chief much else sober sprawling deeply complex equally impressive ',positive
'unusual pure rough good not ',positive
'almost too ruthless own bitter intellectual such very brave ',positive
'conventional inherent practical rational rather selfish ',positive
'big brash horribly watchable extraordinary true familiar generic ',positive
'never more callow good particularly rough real-life happy pretty sure never all ',positive
'predictably impeccable tonal strong especially otherwise reverent just right ',positive
'beautifully murky hard-edged quite simply good ',positive
'so far lively more disloyal proper even well ',positive
'easy young all undeniably demographic ',positive
'compelling powerfully just enough past good back ',positive
'sure as natural ',positive
'solid subtle excessive ',positive
'eternally gradually finally beautiful immaculately pristine other like tentative unspoken ',positive
'brainy genuine rare actually smarter ',positive
'n\'t apart second exactly less ',positive
'yet just underwhelming really about Mexican superlatively strong conceivable ',positive
'overlong important contemporary American mainstream ',positive
'not surprising rather not ',positive
'good ever once gripping accurate just big right such small such new ',positive
'sweet funny smart genuine simple timeless ',positive
'up breathtaking ',positive
'uncommonly bold expressly strong righteous here instead much more valuable ',positive
'short sweet charming often very funny essentially intelligible ',positive
'most comforting ',positive
'high recognizable essentially great second otherwise compelling funny extremely entertaining own ',positive
'frequently very funny undeniably young true too mild-mannered new already fond big ',positive
'simultaneously most charming most daring human ever back fictional next solely ',positive
'sober straightforward instead smart often disarmingly funny classic ',positive
'straight undoubtedly being loud stylish ',positive
'all terrific thoroughly compelling very American utterly modern musical ',positive
'last least dazzling particularly even so most luminous ',positive
'all all clear eventually ',positive
'sparkling dazzlingly mature ',positive
'',positive
'real impossible same ',positive
'more barely certified ',positive
'contemporary historical also funny most flat-out good ',positive
'less cautionary classy much more ',positive
'not fatal narrative final ',positive
'unspoken iconic only ',positive
'emotional strong sociological many visceral more less procedural pretty good absorbing well-made ',positive
'dizzying taut musical ',positive
'as entertaining exactly further stale promising though unlikely ',positive
'auspicious audacious as ',positive
'remarkable not ',positive
'swooningly beautiful traditional thrilling great serious dreamy heightened fully exact ',positive
'good ever restrained intelligent grown-up ',positive
'good n\'t quite more light-hearted too often other here there ',positive
'perhaps most importantly not only also scientific just exciting even more unpredictable usual then up ',positive
'sumptuous clever cold ',positive
'all relatable ',positive
'deeply ',positive
'tight relatively low-key procedural strong ',positive
'more compelling less tough ',positive
'then big here far more convincing previous big public unexpected very welcome good ',positive
'so precisely good ',positive
'nicely 100th thereabouts prescient happily new famed ',positive
'lean ',positive
'hypnotic ',positive
'terrific ',positive
'cool first unaware there ',positive
'magnificently physical tactile ',positive
'so compelling ',positive
'own strange ',positive
'quite Irish gloriously ',positive
'overly earnest rich so sometimes ',positive
'still full still soulful enough still ',positive
'startlingly emotional not just intimate ',positive
'psychotic not only tasty unholy Irish ',positive
'fussy most most powerful ',positive
'still never other also human ',positive
'as other great intricate ',positive
'so many small way too hard sure actually hard ',positive
'exceptional elegant even psychopathic such golden ',positive
'so deeply absurdly just tedious critical almost ',positive
'full ',positive
'dark easy violent vengeful fetid just ',positive
'n\'t too busy main ',positive
'rare n\'t dogged ',positive
'initially amusing finally sour ',positive
'outlandish human winning not n\'t really even skyward ',positive
'not about fiery thrilling simply tight captivating legitimately sometimes more enough ',positive
'exceptional ',positive
'there ',positive
'almost magically full comic nimble ',positive
'computer-generated most slipshod low ',positive
'well first new full familiar ',positive
'not over already favorite brilliant responsible unforgettable ',positive
'riveting ',positive
'enormous excellent ',positive
'curiously constant granular never fully ',positive
'so raw depressing brutal so desperate hypodermic ',positive
'familiar general unusually raw ragged emotional fraught knockout ',positive
'not easy beautiful low really old-fashioned so masterfully heartfelt hard not ',positive
'suspenseful ',positive
'never entirely satisfying visually dazzling lively even ',positive
'even suspiciously light cheerful chilly more dour ',positive
'more most about fairly recent so well convincing ',positive
'crimson sexual dark supernatural human gigantic most terrifying ',positive
'straightforward thrilling metaphysical emotional pure ',positive
'not easy emotionally most pivotal about few overly dry ',positive
'inherent low away pert as always avian ',positive
'so good true just ',positive
'good solid well-executed more less ',positive
'around huge black painterly not particularly substantial ',positive
'somewhat predictable excitingly twisty Russian desperate gold just enough familiar fresh ',positive
'all around ',positive
'warm lesser ',positive
'taut timely brilliant ',positive
'traditional many familiar visceral striking first ',positive
'not childishly wide-eyed capable still terrific alive few back ',positive
'gorgeously sensitively flawlessly deeply intensely important most brilliant ',positive
'now meticulous procedural real-life properly early first Prize-winning grim carefully detailed ',positive
'highly entertaining sometimes more perhaps most memorable sardonically basically famous ',positive
'pervasive modern good complex ',positive
'gorgeous whole new ',positive
'far more compelling ',positive
'often dramatic dreary grisly dubious however ',positive
'so many daily magnificently nerdy absolute ',positive
'vital independent professional ',positive
'extraordinarily wise other enormous so ',positive
'enough reasonably entertaining interesting emotionally compelling ',positive
'nearly intimate almost impossible perhaps only huge awfully quick ',positive
'Gothic outrageously sumptuous gruesomely violent ',positive
'never so hypocritical so banal so evil ',positive
'good dramatic ',positive
'often scary so seductive ',positive
'digital deep emotional sweet simple perfectly ',positive
'rare ',positive
'little overwrought borderline partial Victorian big frilly uncommon ',positive
'always still full ',positive
'delightful comic ',positive
'so closely only close ',positive
'tremendous ',positive
'possible great so subtly so even ',positive
'together beautifully sleek prominently ',positive
'slim whole quite pleasingly warm funny high ',positive
'intriguing bizarrely effective ',positive
'latest sumptuous beautifully archaic inviting ',positive
'good musical last ',positive
'about long ',positive
'never less engaging often much more ',positive
'dirty equal grim very final ',positive
'timeless modern dexterously anytime somehow perfect now ',positive
'probably n\'t much modern ',positive
'not open-minded rather easy ',positive
'most entertaining provocative ',positive
'fittingly good so far countless actual consistently dramatically true ',positive
'potentially chilling horrific also beautiful ',positive
'gradually very specific ',positive
'generous visual ',positive
'dogged righteous too much emotional ',positive
'somehow familiar even cozy great old ',positive
'rather procedural complex international least ',positive
'terrific often explosive only unfortunately as timely now first ',positive
'glorious ',positive
'usual hot clandestine ',positive
'occasionally other chief ',positive
'mad cadaverous ',positive
'not sublimely ',positive
'sweet refreshing nostalgic as welcome just pretty ever ',positive
'old-fashioned always ambitiously aimless all-too-rare ',positive
'digital undeniably contemporary otherwise mostly rarely contemporary however effectively unsettling ',positive
'tempting ',positive
'most ugly off notorious most still ',positive
'potent visceral alike big ',positive
'indelible intense personal social brilliantly ',positive
'double true more ago true now ',positive
'here good good German fantastic technically here bad clever engaging subtle completely ',positive
'sugary together calm almost ',positive
'brilliant hard inspiring ',positive
'tragic here overarching either pretty pat just there ',positive
'never flat ',positive
'solid not stellar well together very well only genuine ',positive
'profane sexual no more cynical world-weary clever hollow ',positive
'sweet sentimental old too sincere sticky probably even occasionally aware masterful ',positive
'especially solid effectively well vintage ',positive
'leisure-time so again ',positive
'fabulous own mainstream poetic ',positive
'dramatic low tremendous more dastardly ',positive
'rather digital often most potent ',positive
'strong occasionally moral here ',positive
'straight not only also still ',positive
'simply great exceedingly well perpetually ',positive
'most fascinating rather ',positive
'bitter-sweet Irish impeccably ',positive
'crisp 3D clear fluid thrilling immensely impressive short ',positive
'rich not poignant impassioned ',positive
'just just as effective more low-key ',positive
'good worth unquestionably ',positive
'few questionable mostly powerful thoughtful visually striking ',positive
'creamily sensuous richly handsomely all superbly ',positive
'straight well good n\'t malicious urgently right now ',positive
'visually spectacular consistently entertaining procedural only emotional usually really ',positive
'sensitive dewy-eyed mature appealing ',positive
'third really way crazy ',positive
'strange sometime even quite different ',positive
'rare journalistic procedural same never hard-working free particularly local ',positive
'out tight tense pretty spicy ',positive
'indomitable human common almost occasionally ',positive
'limited fast-paced nice memorable ',positive
'enough incidental total immense ',positive
'universal urban ',positive
'female horrific presumptuous such woefully thematic male patriarchal manipulative ',positive
'absorbing just also ethereal now-vanished ',positive
'investigative stark now endangered unique almost entirely ',positive
'particularly strong concerned most definitely unabashed ',positive
'glossy real creepy here not ',positive
'sexy here funny never uproarious own modest ',positive
'easily good most also deep sad true ',positive
'about never n\'t only honorable good though lovely ',positive
'notorious good long equally well ethically questionable wrong ',positive
'earnest not full ',positive
'most towering brash even occasionally ',positive
'unique visual predictable flat supernatural red so much ',positive
'sometimes alienating even confusing cogent strikingly confident cinematically rewarding ',positive
'remarkable extraordinary terrifying too gripping away ',positive
'contemporary generous inclusive fast-moving such grandiose genuinely inspiring ',positive
