The	DT	the
Last	JJ	last
Witch	NP	<unknown>
Hunter	NP	Hunter
aims	VBZ	aim
for	IN	for
pulpy	JJ	pulpy
,	,	,
comic-book	NN	comic-book
fun	NN	fun
,	,	,
but	CC	but
it’s	NNS	<unknown>
never	RB	never
as	IN	as
fleet	NN	fleet
,	,	,
funny	JJ	funny
,	,	,
or	CC	or
detailed	JJ	detailed
as	IN	as
it	PP	it
needs	VBZ	need
to	TO	to
be	VB	be
.	SENT	.
And	CC	and
if	IN	if
you’re	NN	<unknown>
looking	VBG	look
for	IN	for
something	NN	something
above	IN	above
middling	VBG	middle
in	IN	in
terms	NNS	term
of	IN	of
plot	NN	plot
,	,	,
characters	NNS	character
,	,	,
world-building	NN	<unknown>
,	,	,
even	RB	even
action	NN	action
sequences	NNS	sequence
,	,	,
you’ll	JJ	<unknown>
need	NN	need
to	TO	to
seek	VB	seek
it	PP	it
elsewhere	RB	elsewhere
.	SENT	.
