Its	PP$	its
abrasive	JJ	abrasive
portrait	NN	portrait
of	IN	of
contemporary	JJ	contemporary
New	NP	New
York	NP	York
as	IN	as
a	DT	a
place	NN	place
of	IN	of
noise	NN	noise
and	CC	and
nerve-rattling	NN	<unknown>
turmoil	NN	turmoil
captures	VBZ	capture
the	DT	the
mood	NN	mood
of	IN	of
the	DT	the
city	NN	city
more	RBR	more
accurately	RB	accurately
than	IN	than
any	DT	any
recent	JJ	recent
film	NN	film
I	PP	I
can	MD	can
think	VB	think
of	IN	of
.	SENT	.
And	CC	and
the	DT	the
jagged	JJ	jagged
camera	NN	camera
work	NN	work
exacerbates	VBZ	exacerbate
the	DT	the
film�s	NNS	<unknown>
jarring	VBG	jar
sense	NN	sense
of	IN	of
immediacy	NN	immediacy
.	SENT	.
