There	EX	there
's	VBZ	be
no	DT	no
denying	VBG	deny
director/co-writer	NN	<unknown>
John	NP	John
Erick	NP	Erick
Dowdle	NP	Dowdle
's	POS	's
skill	NN	skill
set	NN	set
for	IN	for
creating	VBG	create
almost	RB	almost
unbearably	RB	unbearably
tense	JJ	tense
and	CC	and
quite	RB	quite
twisted	VBN	twist
suspense	NN	suspense
pieces	NNS	piece
in	IN	in
which	WDT	which
you	PP	you
'll	MD	will
find	VB	find
yourself	PP	yourself
laughing	VBG	laugh
at	IN	at
the	DT	the
sheer	JJ	sheer
unapologetic	JJ	unapologetic
insanity	NN	insanity
of	IN	of
it	PP	it
all	RB	all
.	SENT	.
