Gordon	NP	Gordon
is	VBZ	be
an	DT	an
eclectic	JJ	eclectic
director	NN	director
,	,	,
and	CC	and
he	PP	he
has	VBZ	have
trouble	NN	trouble
with	IN	with
the	DT	the
tone	NN	tone
here	RB	here
.	SENT	.
It’s	NNS	<unknown>
not	RB	not
that	IN	that
cynicism	NN	cynicism
can’t	NN	<unknown>
evolve	VB	evolve
into	IN	into
something	NN	something
more	RBR	more
useful	JJ	useful
in	IN	in
film	NN	film
.	SENT	.
It’s	NNS	<unknown>
that	IN	that
the	DT	the
reasons	NNS	reason
should	MD	should
be	VB	be
more	RBR	more
convincing	JJ	convincing
.	SENT	.
