To	TO	To
be	VB	be
sure	JJ	sure
,	,	,
Steve	NP	Steve
Jobs	NP	Jobs
has	VBZ	have
its	PP$	its
own	JJ	own
integrity	NN	integrity
as	IN	as
the	DT	the
story	NN	story
of	IN	of
the	DT	the
young	JJ	young
innovator	NN	innovator
,	,	,
but	CC	but
it’s	NNS	<unknown>
a	DT	a
little	JJ	little
like	IN	like
making	VBG	make
a	DT	a
movie	NN	movie
about	IN	about
Thomas	NP	Thomas
Edison	NP	Edison
and	CC	and
stopping	VBG	stop
somewhere	RB	somewhere
between	IN	between
the	DT	the
phonograph	NN	phonograph
and	CC	and
the	DT	the
lightbulb	NN	lightbulb
.	SENT	.
