% Ceci représente la classification de critiques de films en fonction de 3 catégories de jugement (mixed, negative, positive).

@relation critiquesFilms

@attribute nom_fichier string
@attribute contenu string
@attribute classe {mixed, negative, positive}

@data
'Underdogs1.txt','player colourful bunch film reference smart football satire sharp delightful moment visual imagination appealing animation ',mixed
'Scouts_Guide_to_the_Zombie_Apocalypse2.txt','dumb ribald most taste like zombie comedy come ',mixed
'Sinister_20.txt','sinister perfect nobility rare much modern horror cinema ',mixed
'The_Martian42.txt','film micromanage fix thing fly lot gruff technocrat personality ',mixed
'The_Man_from_U.N.C.L.E.26.txt','impossible find popular way old show modern time man immerse thing retro fashion jazzy score action adventure tedious affair fleeting moment cool ',mixed
'The_Last_Witch_Hunter4.txt','last redeem complex work netherworld stolid performance balance support star power limited scene dream walker earnestness world macho witch hunter plausible ',mixed
'Minions16.txt','introduce yellow minion own spinoff fine line irritate adorable ',mixed
'Pan19.txt','point entire film character allow have fun devastating flaw movie suppose be set eternal wonderland play arrest childhood innocence ',mixed
'The_Transporter_Refueled7.txt','crass nonsensical hard hate movie medical anesthetic administer nightclub fog machine weapon ringed life preserver escape move plane car touch-screen banking software design double-cross ',mixed
'Ricki_and_the_Flash19.txt','strut most film leather rocker dud much concoction witch uniform taunt way define woman time superannuated hippie ',mixed
'Maze_Runner__The_Scorch_Trials4.txt','scale catch fizzle Empire Strike ace ',mixed
'Rock_the_Kasbah6.txt','slapdash funny cross infamous forget ',mixed
'Ricki_and_the_Flash18.txt','shaggy distractible film expectation charming baffle effect ',mixed
'Fantastic_Four8.txt','stab revive inherited property less blockbuster age also-ran embarrassment experiment gel ',mixed
'No_Escape9.txt','no-holds-barred family survival action film inevitable side order xenophobia undimmed indictment faceless corporate chicanery ',mixed
'Hitman__Agent_477.txt','beat agent click gear ',mixed
'American_Ultra16.txt','clever standard gore splash distract dearth wit ',mixed
'Crimson_Peak32.txt','crimson gorgeous mediocrity ',mixed
'The_Transporter_Refueled8.txt','accent Russian rogue lethal lady car chase less film more violent fashion spread two-fisted rough life original ',mixed
'Fantastic_Four5.txt','different introductory segment super power whole film standard gear ',mixed
'Sinister_27.txt','feature none sumptuous pitch-black visual sense creep dread follow-up misbegotten venture turn large part horror sophomore rulebook ',mixed
'American_Ultra19.txt','clumsy mix courtship gunpowder passion horror lead conclusion end director mean get ',mixed
'The_Intern25.txt','featherweight comedy coffee ace boss hint irony painful watch anyone thunder use have fingertip ',mixed
'A_Walk_in_the_Woods9.txt','apex hilarity be movie trailer slapstick one-liner premise old buddy go adventure ',mixed
'Our_Brand_Is_Crisis20.txt','satiric comedy film effective run energy end ',mixed
'Fantastic_Four16.txt','ponderous pretentious damn much fun ',mixed
'Minions19.txt','minion be toy hide battery ',mixed
'The_Intern14.txt','idea easygoing indulgent good fun go expect nutrition ',mixed
'Minions18.txt','new team mayhem funny time mayhem be time hilarious movie math work many scene spin control ',mixed
'Our_Brand_Is_Crisis26.txt','comedy funny drama sharp ',mixed
'Jem_and_the_Holograms3.txt','movie entertain slip shackle great cultural conformity factory ',mixed
'Burnt18.txt','thoughtful story beat character moment such predictability slick professionalism whole project smother bland sweetness ',mixed
'Sinister_26.txt','sinister be much ',mixed
'Maze_Runner__The_Scorch_Trials14.txt','bad movie several pretty good one ',mixed
'Fantastic_Four17.txt','cast promising actor generation chemistry sweep wave wave expository dialogue ludicrous exclamation ',mixed
'The_Perfect_Guy2.txt','nothing wacky grotesque go romantic thriller ',mixed
'Paranormal_Activity__The_Ghost_Dimension5.txt','only spend more time ghost dimension less time people dimension have have something ',mixed
'Hotel_Transylvania_29.txt','work gag induce laughter whole thing amiable colorful low gag kill take kid ',mixed
'Paranormal_Activity__The_Ghost_Dimension3.txt','make everyone see evil come franchise potent pleasure study frame sign trouble little telltale something go wrong sentient inkblot poor substitution sensation ',mixed
'Black_Mass33.txt','hard shake suspicion play type try replicate kind performance have give same role roll sleeve grasp shape soul aid distracting prosthetics ',mixed
'The_Walk33.txt','storytelling shortcoming must-see perilous vertiginous finale reminder be remember more ',mixed
'Pan7.txt','make divert young audience unlikely linger vibrancy temper familiarity tune ',mixed
'American_Ultra12.txt','action blood-letting place sequence appear more frequency film rangy charm ',mixed
