Set	VBN	set
in	IN	in
postwar	JJ	postwar
Berlin	NP	Berlin
,	,	,
the	DT	the
story	NN	story
involves	VBZ	involve
prostitution	NN	prostitution
,	,	,
black	JJ	black
marketeering	NN	marketeering
,	,	,
and	CC	and
the	DT	the
death	NN	death
camps	NNS	camp
,	,	,
and	CC	and
the	DT	the
tension	NN	tension
between	IN	between
the	DT	the
visual	JJ	visual
style	NN	style
and	CC	and
the	DT	the
adult	NN	adult
story	NN	story
makes	VBZ	make
the	DT	the
movie	NN	movie
pretty	RB	pretty
engrossing	VBG	engross
--	:	--
it	PP	it
's	VBZ	be
an	DT	an
R-rated	JJ	R-rated
Casablanca	NP	Casablanca
.	SENT	.
