% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'be colourful reference be smart sharp be delightful visual appealing ',mixed
'be too dumb ribald most like come well here be ',mixed
'sinister be far perfect have be rare much modern ',mixed
'be micromanage fix gruff shine ',mixed
'last be redeem complex aptly illuminate further stolid be balance support even criminally limited make even macho seem entirely plausible ',mixed
'introduce yellow now have own still ride fine irritate adorable ',mixed
'entire be allow have be rather devastating be suppose be set eternal arrest ',mixed
'be crass nonsensical be hard hate medical be administer include ringed move continue appear expressly design double-cross ',mixed
'strut most be almost as much wear also define be superannuated ',mixed
'do pretty well finish respectably catch Empire back ',mixed
'sporadically funny infamous mercifully forget ',mixed
'be shaggy easily distractible consistently defy charming baffle ',mixed
'ultimately revive inherited feel less do not do n\'t gel ',mixed
'no-holds-barred inevitable undimmed faceless corporate ',mixed
'consistently off fail ever click ',mixed
'begin clever early devolve standard splash distract ',mixed
'crimson be gorgeous ',mixed
'Russian lethal make feel less more most violent all pose pout instead two-fisted rough ',mixed
'be pleasantly different introductory once super kick whole go more standard ',mixed
'feature sumptuous pitch-black creep be misbegotten large follow so closely ',mixed
'be clumsy lead romantically nearly justify get there not quite ',mixed
'be be be tempt murky long however as befit drop shadowy decamp get ',mixed
'fetch call be painful watch remember use have ',mixed
'think be walk just be be there old go ',mixed
'nominally satiric be only sporadically effective run reach ',mixed
'ponderous pretentious most damn just not much ',mixed
'be hide ',mixed
'run quickly be easygoing be indulgent good just do n\'t go expect ',mixed
'new think be funny be hilarious be not too many spin ',mixed
'here be n\'t very funny be n\'t very sharp ',mixed
'sure mean well be just entertaining enough slightly slip great cultural ultimately represent ',mixed
'thoughtful happen such slick whole seem smother bland ',mixed
'sinister do n\'t know want be do n\'t add much ',mixed
'be not bad be several pretty good ',mixed
'be most promising be be sweep away expository ludicrous ',mixed
'nearly so wacky grotesque down romantic wish ',mixed
'only spend more less have have ',mixed
'joke actually work induce whole be amiable colorful surprisingly low not kill take ',mixed
