It	PP	it
's	VBZ	be
hardly	RB	hardly
essential	JJ	essential
viewing	NN	viewing
,	,	,
but	CC	but
No	DT	no
Escape	NP	<unknown>
is	VBZ	be
a	DT	a
tense	JJ	tense
,	,	,
at	IN	at
times	NNS	time
riveting	JJ	riveting
action-thriller	NN	<unknown>
about	IN	about
innocents	NNS	innocent
abroad	RB	abroad
.	SENT	.
Supersize	VB	<unknown>
your	PP$	your
popcorn	NN	popcorn
,	,	,
check	VB	check
your	PP$	your
logic	NN	logic
at	IN	at
the	DT	the
door	NN	door
and	CC	and
settle	VB	settle
in	IN	in
for	IN	for
a	DT	a
pretty	JJ	pretty
good	JJ	good
ride	NN	ride
.	SENT	.
