It’s	NP	<unknown>
an	DT	an
uncommonly	RB	uncommonly
bold	JJ	bold
gambit	NN	gambit
,	,	,
expressly	RB	expressly
designed	VBN	design
to	TO	to
frustrate	VB	frustrate
people	NNS	people
who	WP	who
want	VBP	want
to	TO	to
see	VB	see
a	DT	a
strong	JJ	strong
woman	NN	woman
deliver	VB	deliver
a	DT	a
righteous	JJ	righteous
ass	NN	ass
kicking	VBG	kick
.	SENT	.
The	DT	the
progressivism	NN	progressivism
here	RB	here
is	VBZ	be
instead	RB	instead
rooted	VBN	root
in	IN	in
futility	NN	futility
and	CC	and
despair	NN	despair
,	,	,
which	WDT	which
provides	VBZ	provide
much	RB	much
more	JJR	more
of	IN	of
a	DT	a
valuable	JJ	valuable
shock	NN	shock
to	TO	to
the	DT	the
system	NN	system
.	SENT	.
