Largely	RB	largely
inert	JJ	inert
and	CC	and
undramatic	NP	undramatic
,	,	,
what	WP	what
you	PP	you
're	VBP	be
left	JJ	left
with	IN	with
is	VBZ	be
a	DT	a
tedious	JJ	tedious
sentiment	NN	sentiment
:	:	:
“	NN	<unknown>
by	IN	by
the	DT	the
grace	NN	grace
of	IN	of
god	NN	god
”	NN	<unknown>
this	DT	this
horrible	JJ	horrible
crisis	NN	crisis
ended	VBN	end
without	IN	without
violence	NN	violence
,	,	,
explosives	NNS	explosive
,	,	,
or	CC	or
spark	VB	spark
.	SENT	.
Congratulations	NNS	congratulation
?	SENT	?
