Keeping	VBG	keep
the	DT	the
creepy/kooky	JJ	<unknown>
mix	NN	mix
entertainingly	RB	entertainingly
intact	JJ	intact
,	,	,
Goosebumps	NP	<unknown>
translates	VBZ	translate
R.L.	NP	<unknown>
Stine’s	NP	<unknown>
frighteningly	RB	frighteningly
successful	JJ	successful
young	JJ	young
adult	NN	adult
horror	NN	horror
fiction	NN	fiction
series	NN	series
to	TO	to
the	DT	the
big	JJ	big
screen	NN	screen
with	IN	with
lively	JJ	lively
,	,	,
teen	JJ	teen
Ghostbusters-type	NP	<unknown>
results	NNS	result
.	SENT	.
