To	TO	To
say	VB	say
that	IN	that
Vulgar	NP	<unknown>
is	VBZ	be
not	RB	not
for	IN	for
all	DT	all
tastes	NNS	taste
might	MD	might
be	VB	be
the	DT	the
understatement	NN	understatement
of	IN	of
the	DT	the
year	NN	year
.	SENT	.
For	IN	for
starters	NNS	starter
,	,	,
this	DT	this
black	JJ	black
comedy	NN	comedy
has	VBZ	have
a	DT	a
male	JJ	male
rape	NN	rape
scene	NN	scene
that	WDT	that
makes	VBZ	make
the	DT	the
one	CD	one
in	IN	in
Deliverance	NP	<unknown>
seem	VBP	seem
mild	JJ	mild
by	IN	by
comparison	NN	comparison
.	SENT	.
