Sorkin	NP	Sorkin
's	POS	's
heavily	RB	heavily
heightened	VBN	heighten
sense	NN	sense
of	IN	of
drama	NN	drama
works	VBZ	work
best	JJS	good
when	WRB	when
the	DT	the
stakes	NNS	stake
are	VBP	be
equally	RB	equally
aligned	VBN	align
but	CC	but
,	,	,
despite	IN	despite
the	DT	the
film	NN	film
constantly	RB	constantly
informing	VBG	inform
you	PP	you
of	IN	of
just	RB	just
how	WRB	how
incredibly	RB	incredibly
important	JJ	important
everything	NN	everything
all	DT	all
is	VBZ	be
,	,	,
it	PP	it
's	VBZ	be
disappointingly	RB	disappointingly
difficult	JJ	difficult
to	TO	to
truly	RB	truly
care	VB	care
about	RB	about
what	WP	what
's	VBZ	be
taking	VBG	take
place	NN	place
.	SENT	.
