Mond	NP	<unknown>
's	POS	's
skill	NN	skill
at	IN	at
working	VBG	work
with	IN	with
actors	NNS	actor
is	VBZ	be
equal	JJ	equal
to	TO	to
his	PP$	his
fully	RB	fully
developed	VBN	develop
visual	JJ	visual
style	NN	style
and	CC	and
assured	JJ	assured
modulation	NN	modulation
of	IN	of
atmosphere	NN	atmosphere
and	CC	and
tone	NN	tone
.	SENT	.
This	DT	this
may	MD	may
be	VB	be
a	DT	a
small	JJ	small
movie	NN	movie
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
an	DT	an
impressively	RB	impressively
rigorous	JJ	rigorous
one	CD	one
without	IN	without
an	DT	an
ounce	NN	ounce
of	IN	of
flab	NN	flab
.	SENT	.
