Gifts	NNS	gift
of	IN	of
civility	NN	civility
small	JJ	small
and	CC	and
large	JJ	large
mark	NN	mark
Steven	NP	Steven
Spielberg	NP	Spielberg
's	POS	's
latest	JJS	late
film	NN	film
,	,	,
a	DT	a
deeply	RB	deeply
satisfying	JJ	satisfying
Cold	NP	Cold
War	NP	War
spy	NN	spy
thriller	NN	thriller
that	WDT	that
feels	VBZ	feel
more	RBR	more
subdued	VBN	subdue
than	IN	than
usual	JJ	usual
for	IN	for
the	DT	the
director—even	NN	<unknown>
more	RBR	more
so	RB	so
than	IN	than
2012	CD	@card@
's	POS	's
philosophical	JJ	philosophical
Lincoln—but	NP	<unknown>
one	CD	one
that	WDT	that
shapes	VBZ	shape
up	RP	up
expertly	RB	expertly
into	IN	into
a	DT	a
John	NP	John
Le	NP	Le
Carré–style	NP	<unknown>
nail-biter	NN	nail-biter
.	SENT	.
