It	PP	it
lacks	VBZ	lack
the	DT	the
same	JJ	same
constant	JJ	constant
surprises	NNS	surprise
of	IN	of
last	JJ	last
year	NN	year
's	POS	's
Gravity	NN	gravity
or	CC	or
the	DT	the
visual	JJ	visual
poetry	NN	poetry
of	IN	of
Mad	NP	Mad
Max	NP	Max
:	:	:
Fury	NP	Fury
Road	NP	Road
,	,	,
but	CC	but
Korm�kur	NP	<unknown>
's	POS	's
movie	NN	movie
nonetheless	RB	nonetheless
marks	VBZ	mark
the	DT	the
rare	JJ	rare
fusion	NN	fusion
of	IN	of
effective	JJ	effective
craftsmanship	NN	craftsmanship
with	IN	with
focused	JJ	focused
storytelling	NN	storytelling
.	SENT	.
