Blunt�s	NP	<unknown>
performance	NN	performance
has	VBZ	have
an	DT	an
edge	NN	edge
of	IN	of
steel	NN	steel
.	SENT	.
She	PP	she
brings	VBZ	bring
off	RP	off
a	DT	a
mix	NN	mix
of	IN	of
confidence	NN	confidence
,	,	,
bewilderment	NN	bewilderment
and	CC	and
vulnerability	NN	vulnerability
,	,	,
which	WDT	which
functions	VBZ	function
very	RB	very
well	RB	well
against	IN	against
the	DT	the
alpha	NN	alpha
male	NN	male
characters	NNS	character
higher	JJR	high
up	IN	up
the	DT	the
chain	NN	chain
of	IN	of
command	NN	command
.	SENT	.
