Sorry	RB	sorry
.	SENT	.
The	DT	the
sight	NN	sight
of	IN	of
the	DT	the
66-year-old	JJ	66-year-old
Streep	NP	Streep
gyrating	VBG	gyrate
her	PP$	her
way	NN	way
through	IN	through
"	``	"
Wooly	NP	<unknown>
Bully	NP	<unknown>
"	``	"
has	VBZ	have
a	DT	a
way	NN	way
of	IN	of
blocking	VBG	block
out	RP	out
rational	JJ	rational
thought	NN	thought
.	SENT	.
It	PP	it
's	VBZ	be
frightening	JJ	frightening
but	CC	but
temporary	JJ	temporary
,	,	,
like	IN	like
a	DT	a
bad	JJ	bad
dream	NN	dream
.	SENT	.
Or	CC	or
this	DT	this
movie	NN	movie
.	SENT	.
