Quite	PDT	Quite
an	DT	an
artful	JJ	artful
dissembler	NN	dissembler
.	SENT	.
Despite	IN	despite
all	DT	all
evidence	NN	evidence
to	TO	to
the	DT	the
contrary	NN	contrary
,	,	,
this	DT	this
clunker	NN	clunker
has	VBZ	have
somehow	RB	somehow
managed	VBN	manage
to	TO	to
pose	VB	pose
as	IN	as
an	DT	an
actual	JJ	actual
feature	NN	feature
movie	NN	movie
,	,	,
the	DT	the
kind	NN	kind
that	WDT	that
charges	VBZ	charge
full	JJ	full
admission	NN	admission
and	CC	and
gets	VBZ	get
hyped	NN	hyped
on	IN	on
TV	NN	TV
and	CC	and
purports	VBZ	purport
to	TO	to
amuse	VB	amuse
small	JJ	small
children	NNS	child
and	CC	and
ostensible	JJ	ostensible
adults	NNS	adult
.	SENT	.
