We	PP	we
Are	VBP	be
Your	PP$	your
Friends	NNS	friend
is	VBZ	be
predictable	JJ	predictable
,	,	,
sometimes	RB	sometimes
tacky	JJ	tacky
,	,	,
but	CC	but
the	DT	the
energy	NN	energy
is	VBZ	be
unflagging	JJ	unflagging
,	,	,
the	DT	the
eye	NN	eye
candy	NN	candy
plentiful	JJ	plentiful
and	CC	and
writer-director	NP	writer-director
Max	NP	Max
Joseph	NP	Joseph
(	(	(
making	VBG	make
his	PP$	his
feature	NN	feature
debut	NN	debut
after	IN	after
hosting	VBG	host
MTV	NP	MTV
's	POS	's
Catfish	NN	catfish
)	)	)
brings	VBZ	bring
sincerity	NN	sincerity
and	CC	and
a	DT	a
skillfully	RB	skillfully
modulated	VBN	modulate
sweetness	NN	sweetness
to	TO	to
the	DT	the
material	NN	material
.	SENT	.
