It	PP	it
has	VBZ	have
its	PP$	its
charming	JJ	charming
,	,	,
lively	JJ	lively
moments	NNS	moment
,	,	,
but	CC	but
also	RB	also
many	JJ	many
that	IN	that
just	RB	just
feel	VBP	feel
tired	JJ	tired
and	CC	and
listless	JJ	listless
,	,	,
as	RB	as
if	IN	if
the	DT	the
filmmakers	NNS	filmmaker
were	VBD	be
working	VBG	work
off	RP	off
a	DT	a
checklist	NN	checklist
of	IN	of
all	PDT	all
the	DT	the
things	NNS	thing
two	CD	two
well-past-middle-age	JJ	<unknown>
travelers	NNS	traveler
would	MD	would
say	VB	say
and	CC	and
do	VB	do
while	IN	while
trekking	VBG	trek
through	IN	through
the	DT	the
wilderness	NN	wilderness
.	SENT	.
