When	WRB	when
you	PP	you
're	VBP	be
watching	VBG	watch
something	NN	something
Zemeckis	NP	Zemeckis
made	VBD	make
,	,	,
anything	NN	anything
can	MD	can
happen	VB	happen
,	,	,
and	CC	and
reality	NN	reality
is	VBZ	be
up	RB	up
for	IN	for
grabs	NNS	grab
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
,	,	,
he	PP	he
's	VBZ	have
used	VBN	use
his	PP$	his
powers	NNS	power
for	IN	for
good	JJ	good
,	,	,
and	CC	and
the	DT	the
end	NN	end
result	NN	result
is	VBZ	be
stirring	JJ	stirring
and	CC	and
spectacular	JJ	spectacular
at	IN	at
times	NNS	time
,	,	,
with	IN	with
a	DT	a
devastating	JJ	devastating
,	,	,
if	IN	if
subtle	JJ	subtle
,	,	,
final	JJ	final
line	NN	line
of	IN	of
dialogue	NN	dialogue
.	SENT	.
