Left	VBN	leave
without	IN	without
a	DT	a
gimmick	NN	gimmick
,	,	,
The	DT	the
Scorch	NP	<unknown>
Trials	NP	<unknown>
wanders	VBZ	wander
between	IN	between
YA	NP	Ya
cliches	NNS	clich
—	NN	<unknown>
there’s	RB	<unknown>
a	DT	a
Resistance	NN	resistance
,	,	,
but	CC	but
it’s	JJ	<unknown>
unclear	JJ	unclear
what	WP	what
they’re	NN	<unknown>
resisting	VBG	resist
—	NN	<unknown>
and	CC	and
zombie	NN	zombie
movie	NN	movie
tropes	NNS	trope
,	,	,
with	IN	with
the	DT	the
obligatory	JJ	obligatory
a	DT	a
zombie	NN	zombie
bit	VBD	bite
our	PP$	our
friend	NN	friend
scene	NN	scene
.	SENT	.
