% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'Nima Nourizadeh\'s American Ultra is a bloody valentine attached to a bomb. It\'s violent, brash, inventive and horrific, and perhaps the most romantic film of the year.',positive
'The screenplay is deceptively tight, even as the main characters seem to be buzzing aimlessly through the proceedings. Like the most successful films of the drug-hazed genre, this movie only appears to be going off the rails.',positive
'American Ultra is one of those geeky genre mishmashes that\'s very clever about being dumb.',positive
'Check your brain at the popcorn-butter pump in the lobby and enjoy it.',positive
'That American Ultra works as well as it does is a testament to its two lead performances.',positive
'This is not a spoiler alert; it\'s a tip: If you go to see American Ultra, stay for the credits, right to the end. They are animated and provide a mini fourth act for the film, a little action movie starring a super simian and a beautiful (human) damsel; they are an amusing addendum, but mainly they tell you a lot about where American Ultra\'s heart lies, deep in comic-book territory.',positive
'A lot Bourne and a little bong, the action comedy...is too earnest to be a stoner movie and too quirky to be an action flick. Therein lies the beauty of director Nima Nourizadeh\'s Ultra: It exists to entertain in its own oddball universe, munchies optional.',positive
'It\'s fun in a bad way and bad in a fun way, and that\'ll do for this late in the summer.',positive
'A Bourne movie turned just askew enough to be funny, American Ultra trains a bemused eye on a trope ripe for a ribbing.',positive
'A Walk in the Woods serves as a terrific showcase for two exceptionally durable stars.',positive
'The real pleasures are not to be found in the sweeping shots of the Great Smoky Mountains but in seeing how Mr. Redford and Mr. Nolte\'s characters learn to get along.',positive
'Their odd couple interplay propels a series of shambling, expletive-laden mishaps that aim more for easy laughs than Wild epiphanies.',positive
'It is funny, and Redford, gracious as ever, makes a wonderful straight-man for a comic co-costar who has the face, voice and posture of a geezer who probably should have tackled this healing hike 20 years earlier.',positive
'What A Walk in the Woods doesn\'t have, however, is plot, character development, narrative conflict, and resolution – in other words, a destination.',positive
'A Walk in the Woods is surprisingly funny at times but, like many comedies, it runs out of steam about halfway through.',positive
'It consists of a series of episodic encounters, misadventures, and musings redeemed in part by the presence of two scenic wonders, the unspoiled 2,190-mile grandeur of the Appalachian Trail and the spectacular crapulousness of Nick Nolte.',positive
'These guys still know how to not just hold our attention but grab it, even if their current film needs them more than they need it.',positive
'If Johnny Depp\'s mesmerizing performance — a bracing return to form for the star after a series of critical and commercial misfires — is the chief selling point of Black Mass, there is much else to recommend this sober, sprawling, deeply engrossing evocation of Bulger\'s South Boston fiefdom and his complex relationship with the FBI agent John Connolly, played with equally impressive skill by Joel Edgerton.',positive
'As notorious gangster James Whitey Bulger, Depp astounds with one of the best performances in his long career while co-star Joel Edgerton steps up equally well as John Connolly, an ethically questionable FBI agent who flirts with the wrong side of the law.',positive
'For all of its flaws, it\'s the first film since Eastern Promises that has added anything truly fresh to the old school street-level gangster story.',positive
'Black Mass, a down and dirty crime drama based on the exploits of Boston gangster James Whitey Bulger, is thrilling for a number of reasons.',positive
'While highly entertaining and sometimes inspired, Black Mass is more like Scorsese lite. In perhaps the most memorable sequence, Bulger sardonically tests a childhood friend (Joel Edgerton) for loyalty by teasing out a secret steak sauce in what\'s basically a reworking/homage of Joe Pesci\'s famous I\'m funny, how? scene in GoodFellas.',positive
'This is a good, solid, well-executed crime story. Nothing more, nothing less.',positive
'A solid piece of filmmaking, from subtle beginning to the excessive end.',positive
'As a dramatic thriller, Black Mass has trouble getting into low orbit. There are some tremendous scenes but the narrative as a whole feels more like a chronology of dastardly dealings than the epic tale of a criminal\'s rise and fall.',positive
'If anything, director Cooper is so intent on portraying Bulger as a man, not a monster, the man comes off a little softer than he was, probably.',positive
'Without an emotional core, a stronger sociological angle, or many visceral thrills, Black Mass more or less limits itself to procedural status. Within those aims, it\'s a pretty good one, absorbing and well-made.',positive
'Cooper, the director of Crazy Heart and the underrated Out of the Furnace, has made a tight and tense gangster film with Black Mass. But it\'s a pretty straight-ahead entry in the genre, albeit one peppered with spicy performances.',positive
'The banality of evil was never so hypocritical, so banal and so evil.',positive
