Everest	NP	Everest
is	VBZ	be
a	DT	a
frustrating	JJ	frustrating
movie	NN	movie
in	IN	in
many	JJ	many
ways	NNS	way
�	JJ	<unknown>
despite	IN	despite
some	DT	some
lurches	NNS	lurch
and	CC	and
shocks	NNS	shock
,	,	,
it	PP	it
doesn�t	VBD	<unknown>
quite	RB	quite
deliver	VB	deliver
the	DT	the
edge-of-your-seat	NN	<unknown>
thrills	VBZ	thrill
that	DT	that
many	JJ	many
were	VBD	be
hoping	VBG	hope
for	IN	for
,	,	,
and	CC	and
all	PDT	all
those	DT	those
moderately	RB	moderately
engaging	JJ	engaging
characters	NNS	character
mean	VBP	mean
that	IN	that
there	EX	there
is	VBZ	be
no	DT	no
centrally	RB	centrally
powerful	JJ	powerful
character	NN	character
.	SENT	.
