Would	MD	Would
the	DT	the
movie	NN	movie
be	VB	be
as	IN	as
(	(	(
barely	RB	barely
)	)	)
entertaining	VBG	entertain
as	IN	as
it	PP	it
is	VBZ	be
without	IN	without
De	NP	De
Niro	NP	Niro
?	SENT	?
He	PP	he
only	RB	only
has	VBZ	have
about	RB	about
15	CD	@card@
minutes�	NN	<unknown>
worth	NN	worth
of	IN	of
scenes	NNS	scene
in	IN	in
Heist	NP	Heist
,	,	,
but	CC	but
whenever	WRB	whenever
he�s	JJ	<unknown>
on-screen	NN	on-screen
the	DT	the
film	NN	film
almost	RB	almost
feels	VBZ	feel
legitimate	JJ	legitimate
.	SENT	.
