People	NNS	people
have	VBP	have
spoken	VBN	speak
about	RB	about
how	WRB	how
understated	VBN	understate
and	CC	and
old-fashioned	JJ	old-fashioned
Brooklyn	NP	Brooklyn
is	VBZ	be
,	,	,
to	TO	to
the	DT	the
extent	NN	extent
that	IN	that
it	PP	it
might	MD	might
come	VB	come
across	RP	across
as	IN	as
a	DT	a
pleasant	JJ	pleasant
innocuous	JJ	innocuous
entertainment	NN	entertainment
.	SENT	.
Don�t	NN	<unknown>
be	VB	be
fooled	VBN	fool
.	SENT	.
Brooklyn	NP	Brooklyn
is	VBZ	be
not	RB	not
toothless	JJ	toothless
.	SENT	.
But	CC	but
it	PP	it
is	VBZ	be
big-hearted	JJ	<unknown>
,	,	,
romantic	JJ	romantic
and	CC	and
beautiful	JJ	beautiful
.	SENT	.
