The	DT	the
impressive	JJ	impressive
young	JJ	young
cast	NN	cast
--	:	--
is	VBZ	be
mostly	RB	mostly
wasted	VBN	waste
.	SENT	.
Teller	NN	teller
and	CC	and
company	NN	company
,	,	,
despite	IN	despite
their	PP$	their
proven	JJ	proven
talents	NNS	talent
,	,	,
are	VBP	be
given	VBN	give
little	RB	little
of	IN	of
depth	NN	depth
to	TO	to
do	VB	do
and	CC	and
forced	VBD	force
to	TO	to
spout	VB	spout
dialog	NN	dialog
that	WDT	that
ranges	VBZ	range
from	IN	from
clunky	NN	clunky
to	TO	to
ridiculous	JJ	ridiculous
.	SENT	.
