When	WRB	when
Mel	NP	Mel
Brooks	NP	Brooks
checks	VBZ	check
in	IN	in
to	TO	to
play	VB	play
Dracula’s	NP	<unknown>
dad	NN	dad
,	,	,
harrumphing	VBG	harrumph
and	CC	and
looking	VBG	look
exactly	RB	exactly
like	IN	like
Grandpa	NP	<unknown>
Munster	NP	Munster
,	,	,
you	PP	you
realize	VBP	realize
Sandler	NP	Sandler
and	CC	and
Co.	NP	Co.
aren’t	NN	<unknown>
trying	VBG	try
any	DT	any
harder	JJR	hard
than	IN	than
they	PP	they
did	VBD	do
in	IN	in
“	NP	<unknown>
Jack	NP	Jack
and	CC	and
Jill	NP	Jill
”	NP	<unknown>
or	CC	or
“	NP	<unknown>
Pixels	NP	<unknown>
.	SENT	.
”	NN	<unknown>
