It	PP	it
's	VBZ	be
not	RB	not
that	IN	that
Pan	NP	Pan
is	VBZ	be
n't	RB	n't
entertaining	JJ	entertaining
.	SENT	.
There	EX	there
's	VBZ	be
plenty	NN	plenty
of	IN	of
color	NN	color
and	CC	and
action	NN	action
and	CC	and
some	DT	some
inventive	JJ	inventive
3-D	JJ	<unknown>
effects	NNS	effect
.	SENT	.
Jackman	NP	Jackman
's	POS	's
unhinged	VBN	unhinge
performance	NN	performance
is	VBZ	be
either	RB	either
gloriously	RB	gloriously
great	JJ	great
or	CC	or
gloriously	RB	gloriously
terrible	JJ	terrible
,	,	,
but	CC	but
captivating	VBG	captivate
either	DT	either
way	NN	way
.	SENT	.
There	EX	there
's	VBZ	be
no	DT	no
magic	NN	magic
,	,	,
though	RB	though
.	SENT	.
