What	WP	What
hurts	VBZ	hurt
is	VBZ	be
that	IN	that
filmmaker	NP	filmmaker
Mia	NP	Mia
Hansen-Love	NP	<unknown>
did	VBD	do
it	PP	it
better	RBR	well
just	RB	just
a	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
in	IN	in
"	``	"
Eden	NP	Eden
,	,	,
"	``	"
about	IN	about
the	DT	the
French	JJ	French
house	NN	house
movement	NN	movement
since	IN	since
the	DT	the
1990s	NNS	1990s
.	SENT	.
In	IN	in
this	DT	this
movie	NN	movie
,	,	,
James	NP	James
tells	VBZ	tell
Cole	NP	Cole
the	DT	the
ideal	JJ	ideal
EDM	NP	EDM
track	NN	track
would	MD	would
work	VB	work
up	RP	up
the	DT	the
heart-rate	NN	heart-rate
of	IN	of
the	DT	the
crowd	NN	crowd
to	TO	to
128	CD	@card@
beats-per-minute	NN	<unknown>
.	SENT	.
We	PP	we
Are	VBP	be
Your	PP$	your
Friends	NNS	friend
never	RB	never
even	RB	even
gets	VBZ	get
us	PP	us
to	TO	to
break	VB	break
a	DT	a
sweat	NN	sweat
.	SENT	.
