There	EX	there
are	VBP	be
no	DT	no
people	NNS	people
to	TO	to
watch	VB	watch
in	IN	in
Fantastic	NP	<unknown>
Four	CD	Four
,	,	,
only	RB	only
collections	NNS	collection
of	IN	of
character	NN	character
traits	NNS	trait
and	CC	and
attitudes	NNS	attitude
brought	VBD	bring
fitfully	RB	fitfully
to	TO	to
life	NN	life
by	IN	by
actors	NNS	actor
who	WP	who
might	MD	might
've	VBP	have
mistakenly	RB	mistakenly
thought	VBN	think
they	PP	they
were	VBD	be
hitching	VBG	hitch
a	DT	a
ride	NN	ride
on	IN	on
the	DT	the
superhero	NN	superhero
movie	NN	movie
gravy	NN	gravy
train	NN	train
by	IN	by
signing	VBG	sign
up	RP	up
for	IN	for
this	DT	this
misfire	VBP	misfire
.	SENT	.
