It	PP	it
doesn’t	VBD	<unknown>
have	VB	have
the	DT	the
laughs	NNS	laugh
or	CC	or
the	DT	the
killer	NN	killer
cast	VBN	cast
of	IN	of
“	NP	<unknown>
Superbad	NP	<unknown>
,	,	,
”	NN	<unknown>
but	CC	but
there	EX	there
are	VBP	be
gory	JJ	gory
giggles	NNS	giggle
aplenty	RB	aplenty
in	IN	in
this	DT	this
B-movie	NN	B-movie
addition	NN	addition
to	TO	to
the	DT	the
genre	NN	genre
that	IN	that
displaced	VBN	displace
vampires	NNS	vampire
once	IN	once
Edward	NP	Edward
impregnated	VBD	impregnate
Bella	NP	Bella
.	SENT	.
