I	PP	I
'm	VBP	be
not	RB	not
sure	JJ	sure
if	IN	if
leavening	VBG	leaven
is	VBZ	be
the	DT	the
right	JJ	right
word	NN	word
,	,	,
but	CC	but
Brolin	NP	<unknown>
,	,	,
as	IN	as
an	DT	an
enigmatic	JJ	enigmatic
U.S.	NP	U.S.
agent	NN	agent
with	IN	with
a	DT	a
world-weary	JJ	world-weary
cynicism	NN	cynicism
and	CC	and
a	DT	a
black-ops	NNS	<unknown>
vibe	NN	<unknown>
,	,	,
provides	VBZ	provide
at	IN	at
least	JJS	least
a	DT	a
dose	NN	dose
of	IN	of
(	(	(
very	RB	very
)	)	)
dark	JJ	dark
humor	NN	humor
to	TO	to
the	DT	the
proceedings	NNS	proceeding
.	SENT	.
