There	EX	there
have	VBP	have
been	VBN	be
plenty	JJ	plenty
of	IN	of
mountaineering	VBG	mountaineer
documentaries	NNS	documentary
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
,	,	,
and	CC	and
Everest	NP	Everest
suffers	VBZ	suffer
in	IN	in
comparison	NN	comparison
to	TO	to
them	PP	them
simply	RB	simply
by	IN	by
being	VBG	be
a	DT	a
dramatization	NN	dramatization
.	SENT	.
As	RB	as
realistic	JJ	realistic
as	IN	as
the	DT	the
effects	NNS	effect
are	VBP	be
(	(	(
and	CC	and
you	PP	you
can	MD	can
occasionally	RB	occasionally
tell	VB	tell
when	WRB	when
a	DT	a
shot	NN	shot
is	VBZ	be
green-screened	JJ	<unknown>
)	)	)
,	,	,
you	PP	you
're	VBP	be
still	RB	still
aware	JJ	aware
on	IN	on
a	DT	a
gut	JJ	gut
level	NN	level
that	IN	that
Jason	NP	Jason
Clarke	NP	Clarke
and	CC	and
Josh	NP	Josh
Brolin	NP	<unknown>
were	VBD	be
not	RB	not
actually	RB	actually
filmed	VBN	film
at	IN	at
29,000	CD	@card@
feet	NNS	foot
above	IN	above
sea	NN	sea
level	NN	level
.	SENT	.
