What	WP	What
's	VBZ	be
being	VBG	be
marketed	VBN	market
as	IN	as
a	DT	a
sober	JJ	sober
,	,	,
straightforward	JJ	straightforward
sci-fi	NN	sci-fi
drama	NN	drama
(	(	(
the	DT	the
words	NNS	word
Bring	NP	Bring
him	PP	him
home	RB	home
superimposed	VBD	superimpose
on	IN	on
an	DT	an
unsmiling	NP	unsmiling
Matt	NP	Matt
Damon	NP	Damon
inside	IN	inside
a	DT	a
space	NN	space
helmet	NN	helmet
)	)	)
is	VBZ	be
instead	RB	instead
a	DT	a
smart	JJ	smart
,	,	,
exhilarating	VBG	exhilarate
,	,	,
often	RB	often
disarmingly	RB	disarmingly
funny	JJ	funny
return	NN	return
to	TO	to
classic	JJ	classic
adventures	NNS	adventure
of	IN	of
yore	NN	yore
.	SENT	.
