Yes	UH	yes
,	,	,
some	DT	some
of	IN	of
the	DT	the
individual	JJ	individual
stunts	NNS	stunt
and	CC	and
action	NN	action
set	NN	set
pieces	NNS	piece
temporarily	RB	temporarily
hold	VBP	hold
our	PP$	our
interest	NN	interest
...	:	...
but	CC	but
the	DT	the
story	NN	story
itself	PP	itself
is	VBZ	be
not	RB	not
convincing	VBG	convince
on	IN	on
its	PP$	its
own	JJ	own
terms	NNS	term
,	,	,
playing	VBG	play
like	IN	like
a	DT	a
series	NN	series
of	IN	of
boxes	NNS	box
(	(	(
Bond	NN	bond
asking	NN	asking
for	IN	for
a	DT	a
martini	NN	martini
shaken	VBN	shake
not	RB	not
stirred	VBN	stir
)	)	)
that	WDT	that
need	VBP	need
to	TO	to
be	VB	be
checked	VBN	check
off	RP	off
and	CC	and
forgotten	VBN	forget
.	SENT	.
