It	PP	it
's	VBZ	be
hard	JJ	hard
to	TO	to
deny	VB	deny
the	DT	the
hedonistic	JJ	hedonistic
joy	NN	joy
in	IN	in
the	DT	the
way	NN	way
Delamarre	NP	<unknown>
plays	VBZ	play
with	IN	with
his	PP$	his
various	JJ	various
toys	NNS	toy
,	,	,
and	CC	and
the	DT	the
goofball	NN	goofball
stunts—including	VBG	<unknown>
the	DT	the
yacht-based	JJ	<unknown>
finale	NN	finale
,	,	,
with	IN	with
a	DT	a
special	JJ	special
appearance	NN	appearance
by	IN	by
a	DT	a
jet	NN	jet
ski—are	NN	<unknown>
generally	RB	generally
worth	JJ	worth
wandering	NN	wandering
through	IN	through
the	DT	the
dialogue	NN	dialogue
desert	NN	desert
.	SENT	.
