Oddest	JJS	odd
of	IN	of
all	DT	all
is	VBZ	be
how	WRB	how
Truth	NP	<unknown>
whips	VBZ	whip
through	IN	through
this	DT	this
,	,	,
making	VBG	make
noble	JJ	noble
statements	NNS	statement
about	IN	about
journalism	NN	journalism
while	IN	while
brushing	VBG	brush
off	RP	off
the	DT	the
failures	NNS	failure
to	TO	to
get	VB	get
it	PP	it
right	RB	right
.	SENT	.
Mapes	NP	Mapes
was	VBD	be
busy	JJ	busy
and	CC	and
stressed	VBN	stress
.	SENT	.
(	(	(
Slow	VB	slow
down	RP	down
!	SENT	!
)	)	)
The	DT	the
document	NN	document
authenticators	NNS	<unknown>
had	VBD	have
doubts	NNS	doubt
.	SENT	.
(	(	(
Listen	VB	listen
to	TO	to
them	PP	them
.	SENT	.
)	)	)
The	DT	the
source	NN	source
said	VBD	say
he	PP	he
was	VBD	be
lying	VBG	lie
before	RB	before
but	CC	but
is	VBZ	be
telling	VBG	tell
the	DT	the
truth	NN	truth
now	RB	now
.	SENT	.
(	(	(
Do	VB	do
n't	RB	n't
trust	VB	trust
him	PP	him
.	SENT	.
)	)	)
