It	PP	it
's	VBZ	be
certainly	RB	certainly
a	DT	a
moving	VBG	move
tale	NN	tale
...	:	...
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
the	DT	the
film	NN	film
tells	VBZ	tell
the	DT	the
story	NN	story
in	IN	in
the	DT	the
most	RBS	most
prosaic	JJ	prosaic
fashion	NN	fashion
imaginable	JJ	imaginable
,	,	,
missing	VBG	miss
nary	PDT	nary
a	DT	a
single	JJ	single
faith-based	JJ	<unknown>
film	NN	film
cliché	NN	cliché
with	IN	with
its	PP$	its
one-dimensional	JJ	one-dimensional
noble	JJ	noble
characters	NNS	character
,	,	,
banal	JJ	banal
dialogue	NN	dialogue
and	CC	and
requisite	JJ	requisite
sermonizing	VBG	sermonize
.	SENT	.
